Date,Predicted_Positive,Predicted_Negative
2024-06-27,368.22425570888777,10.165385641520706
2024-06-28,360.21703433275775,9.684700560460875
2024-06-29,411.0026984484356,10.43359079603104
2024-06-30,409.1007576217459,10.16384680806986
2024-07-01,401.09246337695646,10.15419522318411
2024-07-02,405.6226011495952,9.604621244696707
2024-07-03,405.719212846623,9.695810360410796
2024-07-04,401.2079221223829,10.103471621477556
2024-07-05,428.8392128029714,10.342246036226653
2024-07-06,418.75087580441334,10.869174488661848
2024-07-07,451.6860447258357,11.824106490876847
2024-07-08,438.41836859809996,11.265233363183519
2024-07-09,449.4833920718319,10.491026469135175
2024-07-10,420.7885791215541,10.275479838041957
2024-07-11,455.87414101609465,10.50947522471715
2024-07-12,442.37899455321974,10.344970363180424
2024-07-13,426.17412520676226,10.3148846846129
2024-07-14,424.4571453667557,10.078706664665054
2024-07-15,419.95420780857114,9.747422282346395
2024-07-16,412.18789956254966,9.681758321142087
2024-07-17,437.7221034037993,10.349024158785323
2024-07-18,424.06791962617945,10.838194385474376
2024-07-19,456.22376906155563,11.73685835038776
2024-07-20,441.9682683887906,11.210752539005195
2024-07-21,452.3798264002159,10.496291910560183
2024-07-22,423.1977453361227,10.263432836154019
2024-07-23,457.92518163849,10.529986326869459
2024-07-24,444.1624354241839,10.358603218511048
2024-07-25,427.7591591678757,10.329998810525533
2024-07-26,425.89396751494854,10.07418567007845
2024-07-27,421.28272599826016,9.769275434564054
2024-07-28,413.4336643979691,9.733010968751366
2024-07-29,438.9069157741511,10.37364752390835
2024-07-30,425.21425716020934,10.865145433873225
2024-07-31,457.33545038368436,11.767324716124742
