Date,Predicted_Positive,Predicted_Negative
2024-06-27,359.3842328441522,10.43232272647034
2024-06-28,381.45949266163984,10.754885609498496
2024-06-29,398.27110512156105,10.736824433252396
2024-06-30,411.39976978206,10.817500150600608
2024-07-01,421.78315978810707,10.78399319085475
2024-07-02,430.0465980549178,10.81472016266912
2024-07-03,436.64274749299653,10.795841036134654
2024-07-04,441.9156396497694,10.809770103549466
2024-07-05,446.13365805972455,10.800364191079538
2024-07-06,449.50895591626266,10.806986946265717
2024-07-07,452.21032908620487,10.802416093167965
2024-07-08,454.3724996578521,10.805600880964326
2024-07-09,456.1031567772972,10.803391868592994
2024-07-10,457.4884433308802,10.804927373705274
2024-07-11,458.59729074564916,10.803861124070163
2024-07-12,459.48486698925024,10.804601885928895
2024-07-13,460.1953281949267,10.804087371753042
2024-07-14,460.76401801985133,10.804444779661052
2024-07-15,461.2192269084689,10.804196518902772
2024-07-16,461.58359983319775,10.80436896878307
2024-07-17,461.87526294567,10.804249181000023
2024-07-18,462.10872533923157,10.804332388912844
2024-07-19,462.2956008407757,10.804274590547895
2024-07-20,462.4451857607161,10.804314738836515
2024-07-21,462.56492135046807,10.804286850779635
2024-07-22,462.6607639761409,10.80430622256286
2024-07-23,462.73748142435807,10.804292766410835
2024-07-24,462.7988900807142,10.80430211340988
2024-07-25,462.84804477973125,10.804295620737367
2024-07-26,462.88739077065713,10.80430013071932
2024-07-27,462.9188853588245,10.804296997966663
2024-07-28,462.94409527374904,10.80429917405946
2024-07-29,462.9642746076439,10.80429766248789
2024-07-30,462.98042720148095,10.804298712465455
2024-07-31,462.9933565820554,10.804297983123288
