Date,Predicted_Positive,Predicted_Negative
2024-06-27,508.7681468774491,207.90820034225317
2024-06-28,504.8670108495024,202.87953636516534
2024-06-29,495.8151304502161,199.16243710189525
2024-06-30,491.2041804377379,196.10889591439312
2024-07-01,487.57665086974885,194.24124710353007
2024-07-02,484.9897269852092,193.1285839229741
2024-07-03,483.194768500406,192.566669080884
2024-07-04,481.8925194583964,192.3124286057535
2024-07-05,480.97635224061577,192.22684883438944
2024-07-06,480.32188312612,192.21711778981134
2024-07-07,479.8569873391832,192.23599375267713
2024-07-08,479.5263707481913,192.25991590139827
2024-07-09,479.29116948296183,192.2799850483953
2024-07-10,479.12393832042585,192.2939854746594
2024-07-11,479.0049899092094,192.30263480104298
2024-07-12,478.9204000080518,192.30742461890114
2024-07-13,478.86023992337493,192.3097764460605
2024-07-14,478.8174548602519,192.3107457900248
2024-07-15,478.7870268098706,192.31101756512533
2024-07-16,478.7653867234463,192.31098846179694
2024-07-17,478.7499966092327,192.31086414609737
2024-07-18,478.73905135896024,192.31073683140878
2024-07-19,478.7312672450784,192.31063852907218
2024-07-20,478.7257312876517,192.31057325495854
2024-07-21,478.72179418875487,192.3105345838417
2024-07-22,478.7189941768957,192.31051406054362
2024-07-23,478.7170028459531,192.31050453597723
2024-07-24,478.7155866380904,192.31050099006072
2024-07-25,478.71457945003914,192.31050030925238
2024-07-26,478.7138631513975,192.31050076125922
2024-07-27,478.7133537294052,192.31050149107443
2024-07-28,478.71299143531246,192.31050214303664
2024-07-29,478.71273377661,192.3105026148169
2024-07-30,478.7125505331944,192.3105029141859
2024-07-31,478.7124202129335,192.31050308444327
