Date,Predicted_Positive,Predicted_Negative
2024-06-27,896.3763925407245,65.16951366312644
2024-06-28,815.5820473861577,66.63271496412624
2024-06-29,750.926304887057,65.61402250747092
2024-06-30,736.0887487375386,66.7789339743429
2024-07-01,693.6520796826662,70.94830462482979
2024-07-02,678.690449683733,72.88864117717259
2024-07-03,662.8051287559879,72.42008957517348
2024-07-04,645.2617912172121,72.17582922640503
2024-07-05,640.7236065979797,73.79235374709546
2024-07-06,628.9090880126939,75.17567269501447
2024-07-07,624.7967350011448,75.22366014376705
2024-07-08,620.1625431229485,74.82078632758385
2024-07-09,615.3999354035002,75.27232110174147
2024-07-10,614.0215604446626,76.04459316357006
2024-07-11,610.7370494703453,76.28071170819054
2024-07-12,609.6014721414605,76.04449375617226
2024-07-13,608.2560751215257,76.07323351618629
2024-07-14,606.9622688238818,76.4208807538165
2024-07-15,606.54627554572,76.64499356424211
2024-07-16,605.6343229058942,76.56590741256886
2024-07-17,605.319333821287,76.49766887158275
2024-07-18,604.9304113652681,76.61629024539927
2024-07-19,604.5786498195838,76.76376799422384
2024-07-20,604.4538313015518,76.7656031655812
2024-07-21,604.2009109806723,76.70888481463832
2024-07-22,604.1131635859151,76.72963792064506
2024-07-23,604.001165067047,76.80607883242725
2024-07-24,603.9054362482727,76.83224808125279
2024-07-25,603.8681833653131,76.80477943128517
2024-07-26,603.7981081194794,76.79558444234817
2024-07-27,603.773565836295,76.8267541233551
2024-07-28,603.7414240786015,76.8508663172275
2024-07-29,603.7153439342643,76.84337957621975
2024-07-30,603.7042797241306,76.83153846647474
2024-07-31,603.6848810683538,76.84019257190921
