Date,Predicted_Positive,Predicted_Negative
2024-06-27,1281.8376979748919,498.8242467496078
2024-06-28,1377.5800179631974,522.7020269994595
2024-06-29,1438.7583787055912,525.2860867928599
2024-06-30,1493.7714327375165,533.6058527035715
2024-07-01,1526.969006873428,537.1830671467117
2024-07-02,1558.2114230103246,540.973153517137
2024-07-03,1576.160453007665,543.3525356100993
2024-07-04,1593.9712505544335,545.3287444246877
2024-07-05,1603.6025536586098,546.7300170213094
2024-07-06,1613.8043494393726,547.8139208156778
2024-07-07,1618.9207561624619,548.6125504606492
2024-07-08,1624.7962990202213,549.217055708141
2024-07-09,1627.477713388635,549.6678100148744
2024-07-10,1630.8828929522517,550.0067304288755
2024-07-11,1632.2620478569581,550.2603853584084
2024-07-12,1634.2495414314342,550.4507153117903
2024-07-13,1634.9399703764104,550.5933250735327
2024-07-14,1636.1091876131188,550.7002642759373
2024-07-15,1636.4408612913023,550.7804196266759
2024-07-16,1637.134668498604,550.84051414849
2024-07-17,1637.2834092217477,550.8855623945749
2024-07-18,1637.6989641054306,550.9193341696226
2024-07-19,1637.7572980057826,550.9446511290546
2024-07-20,1638.008659241654,550.9636303945126
2024-07-21,1638.0244519882435,550.9778583201471
2024-07-22,1638.1780580859718,550.9885244514038
2024-07-23,1638.1754757062922,550.9965204095
2024-07-24,1638.2703245320524,551.0025146624932
2024-07-25,1638.2611305136693,551.0070083108761
2024-07-26,1638.3203070079176,551.0103770191706
2024-07-27,1638.3098987753579,551.012902403944
2024-07-28,1638.3471936889957,551.014795583484
2024-07-29,1638.3377913307786,551.0162148239822
2024-07-30,1638.3615236454712,551.0172787715278
2024-07-31,1638.3538281958768,551.0180763702009
