Date,Predicted_Positive,Predicted_Negative
2024-06-27,1077.6773782360765,613.9027072558553
2024-06-28,1133.430941938172,539.132244645828
2024-06-29,1054.1629864541699,488.6871381694207
2024-06-30,1447.605983582323,611.543746171428
2024-07-01,1182.1699271908833,549.9792685126934
2024-07-02,1083.9998163249961,543.394104061108
2024-07-03,1382.7190768493242,583.0947512085187
2024-07-04,1283.2159884377597,551.8573010890418
2024-07-05,1161.1582353152262,526.6605318737543
2024-07-06,1262.187038035396,535.0234489769955
2024-07-07,1198.9786335153403,517.6138023554015
2024-07-08,1351.736710152153,491.08224651847075
2024-07-09,1392.321631054927,561.1157950025124
2024-07-10,1358.4785768508418,508.94985811949886
2024-07-11,1340.4822866039556,514.9352809438376
2024-07-12,1475.5943536191662,513.294252035346
2024-07-13,1472.2699142486665,543.8420839289723
2024-07-14,1275.7137831067835,499.8351515291267
2024-07-15,1409.239149229784,485.71240038525275
2024-07-16,1411.7721726003635,481.2586361871625
2024-07-17,1322.973964001669,468.13244568916855
2024-07-18,1391.0636125524436,467.8496382620784
2024-07-19,1321.1543898107618,444.43366048645777
2024-07-20,1453.5551863144872,466.18361096599324
2024-07-21,1478.328351134171,540.8055828574169
2024-07-22,1454.819968166599,484.2001607543473
2024-07-23,1428.0704504082732,479.72555588954265
2024-07-24,1594.8906218235834,500.7614406003894
2024-07-25,1557.4086750960892,514.5690579268773
2024-07-26,1372.3323819220052,477.5422552317467
2024-07-27,1525.801021401268,473.46319822571184
2024-07-28,1514.4620872630262,464.40415459375953
2024-07-29,1420.5044059865618,449.4044808837853
2024-07-30,1491.821800103331,451.066173598405
2024-07-31,1421.8264978242864,429.1436478973599
